name,category_id,remains,rating,description,price
Puma Yeezy Boost,6,81,3.46,"Puma Yeezy Boost sneakers, designed for other performance and style.",157.39
Adidas Zoom Pegasus,2,12,3.68,"Adidas Zoom Pegasus sneakers, designed for lifestyle performance and style.",341.44
Asics Air Max,5,154,3.45,"Asics Air Max sneakers, designed for tennis performance and style.",243.02
Yeezy Speedrunner,4,135,3.13,"Yeezy Speedrunner sneakers, designed for running performance and style.",494.12
Asics Chuck 70,1,97,3.6,"Asics Chuck 70 sneakers, designed for basketball performance and style.",84.03
MSCHF Speedrunner,4,188,4.63,"MSCHF Speedrunner sneakers, designed for running performance and style.",264.68
Jordan Classic Leather,6,115,4.35,"Jordan Classic Leather sneakers, designed for other performance and style.",474.38
Dior Speedrunner,5,116,4.67,"Dior Speedrunner sneakers, designed for tennis performance and style.",358.71
Louis Vuitton Speedrunner,3,198,3.54,"Louis Vuitton Speedrunner sneakers, designed for fashion performance and style.",435.18
New Balance Disruptor,2,77,3.61,"New Balance Disruptor sneakers, designed for lifestyle performance and style.",323.5
Louis Vuitton Air Max,5,141,3.63,"Louis Vuitton Air Max sneakers, designed for tennis performance and style.",397.52
Asics Triple S,2,0,4.43,"Asics Triple S sneakers, designed for lifestyle performance and style.",198.8
Dior Speedrunner,2,3,4.17,"Dior Speedrunner sneakers, designed for lifestyle performance and style.",77.27
Louis Vuitton Chuck 70,3,62,4.05,"Louis Vuitton Chuck 70 sneakers, designed for fashion performance and style.",148.31
Reebok Yeezy Boost,5,102,3.22,"Reebok Yeezy Boost sneakers, designed for tennis performance and style.",116.85
Reebok RS-Dreamer,5,197,4.68,"Reebok RS-Dreamer sneakers, designed for tennis performance and style.",415.29
Fila Triple S,6,41,4.31,"Fila Triple S sneakers, designed for other performance and style.",461.32
Nike Air Max,5,77,4.01,"Nike Air Max sneakers, designed for tennis performance and style.",87.86
Jordan Gel-Lyte,1,81,3.24,"Jordan Gel-Lyte sneakers, designed for basketball performance and style.",454.94
Adidas Disruptor,4,150,3.98,"Adidas Disruptor sneakers, designed for running performance and style.",280.31
Asics Gel-Lyte,3,60,3.14,"Asics Gel-Lyte sneakers, designed for fashion performance and style.",70.79
Nike Disruptor,4,165,4.12,"Nike Disruptor sneakers, designed for running performance and style.",454.72
Fila Zoom Pegasus,4,62,3.91,"Fila Zoom Pegasus sneakers, designed for running performance and style.",446.4
New Balance Dunk,2,167,4.56,"New Balance Dunk sneakers, designed for lifestyle performance and style.",417.28
Jordan Retro 1,4,166,3.33,"Jordan Retro 1 sneakers, designed for running performance and style.",116.59
Converse Yeezy Boost,2,0,3.49,"Converse Yeezy Boost sneakers, designed for lifestyle performance and style.",85.53
Reebok Disruptor,5,89,3.13,"Reebok Disruptor sneakers, designed for tennis performance and style.",318.02
Adidas Air Max,4,53,3.18,"Adidas Air Max sneakers, designed for running performance and style.",161.04
Yeezy 990v5,3,152,4.98,"Yeezy 990v5 sneakers, designed for fashion performance and style.",444.46
Nike 990v5,5,16,4.56,"Nike 990v5 sneakers, designed for tennis performance and style.",92.96
Asics 990v5,2,100,3.61,"Asics 990v5 sneakers, designed for lifestyle performance and style.",477.08
Converse Powerframe,3,120,3.25,"Converse Powerframe sneakers, designed for fashion performance and style.",158.07
Reebok Gel-Lyte,6,33,4.23,"Reebok Gel-Lyte sneakers, designed for other performance and style.",341.27
Nike Classic Leather,3,29,3.04,"Nike Classic Leather sneakers, designed for fashion performance and style.",234.77
Louis Vuitton Air Max,4,71,3.55,"Louis Vuitton Air Max sneakers, designed for running performance and style.",72.0
Asics 990v5,5,13,4.81,"Asics 990v5 sneakers, designed for tennis performance and style.",248.02
Dior Yeezy Boost,5,15,4.55,"Dior Yeezy Boost sneakers, designed for tennis performance and style.",488.81
Lanvin 990v5,3,64,4.37,"Lanvin 990v5 sneakers, designed for fashion performance and style.",298.7
Fila Classic Leather,5,29,4.15,"Fila Classic Leather sneakers, designed for tennis performance and style.",276.69
Asics Chuck 70,6,124,4.52,"Asics Chuck 70 sneakers, designed for other performance and style.",237.54
Yeezy Triple S,5,58,3.8,"Yeezy Triple S sneakers, designed for tennis performance and style.",423.73
Nike RS-X,1,107,3.57,"Nike RS-X sneakers, designed for basketball performance and style.",83.7
Dior Triple S,2,15,3.12,"Dior Triple S sneakers, designed for lifestyle performance and style.",418.64
Yeezy 990v5,1,177,3.23,"Yeezy 990v5 sneakers, designed for basketball performance and style.",334.38
Fila Chuck 70,3,79,3.76,"Fila Chuck 70 sneakers, designed for fashion performance and style.",317.47
Puma Triple S,5,150,4.68,"Puma Triple S sneakers, designed for tennis performance and style.",305.19
Fila Gel-Lyte,2,187,3.4,"Fila Gel-Lyte sneakers, designed for lifestyle performance and style.",51.27
Nike Gel-Lyte,1,156,3.16,"Nike Gel-Lyte sneakers, designed for basketball performance and style.",89.8
Fila Air Max,5,33,3.07,"Fila Air Max sneakers, designed for tennis performance and style.",151.49
Nike Disruptor,1,167,4.52,"Nike Disruptor sneakers, designed for basketball performance and style.",55.52
Jordan Speedrunner,1,168,3.75,"Jordan Speedrunner sneakers, designed for basketball performance and style.",95.12
Lanvin Chuck 70,4,51,3.92,"Lanvin Chuck 70 sneakers, designed for running performance and style.",112.4
Fila Retro 1,5,119,4.88,"Fila Retro 1 sneakers, designed for tennis performance and style.",239.41
Lanvin Speedrunner,5,87,4.88,"Lanvin Speedrunner sneakers, designed for tennis performance and style.",52.4
Fila Zoom Pegasus,2,143,3.05,"Fila Zoom Pegasus sneakers, designed for lifestyle performance and style.",151.41
Puma Zoom Pegasus,6,19,4.89,"Puma Zoom Pegasus sneakers, designed for other performance and style.",376.19
Yeezy Dunk,5,185,3.89,"Yeezy Dunk sneakers, designed for tennis performance and style.",281.82
Converse Chuck 70,5,138,3.89,"Converse Chuck 70 sneakers, designed for tennis performance and style.",456.17
Puma React Infinity,5,183,4.69,"Puma React Infinity sneakers, designed for tennis performance and style.",270.97
Lanvin Powerframe,5,193,3.68,"Lanvin Powerframe sneakers, designed for tennis performance and style.",78.88
Lanvin RS-Dreamer,3,62,4.12,"Lanvin RS-Dreamer sneakers, designed for fashion performance and style.",413.82
Fila Yeezy Boost,1,4,4.9,"Fila Yeezy Boost sneakers, designed for basketball performance and style.",100.4
Nike Retro 1,3,7,3.53,"Nike Retro 1 sneakers, designed for fashion performance and style.",375.03
Asics Powerframe,3,131,3.2,"Asics Powerframe sneakers, designed for fashion performance and style.",108.94
Louis Vuitton Powerframe,3,48,3.11,"Louis Vuitton Powerframe sneakers, designed for fashion performance and style.",84.23
MSCHF RS-X,3,95,4.78,"MSCHF RS-X sneakers, designed for fashion performance and style.",158.36
Dior 990v5,6,159,4.57,"Dior 990v5 sneakers, designed for other performance and style.",426.97
Adidas RS-Dreamer,3,64,3.73,"Adidas RS-Dreamer sneakers, designed for fashion performance and style.",296.59
Louis Vuitton Powerframe,5,102,3.55,"Louis Vuitton Powerframe sneakers, designed for tennis performance and style.",333.12
New Balance Air Max,6,82,3.8,"New Balance Air Max sneakers, designed for other performance and style.",499.28
Jordan Classic Leather,2,172,4.03,"Jordan Classic Leather sneakers, designed for lifestyle performance and style.",438.37
New Balance Gel-Lyte,6,199,4.78,"New Balance Gel-Lyte sneakers, designed for other performance and style.",496.19
Yeezy Speedrunner,1,170,4.51,"Yeezy Speedrunner sneakers, designed for basketball performance and style.",70.7
Adidas Powerframe,2,7,3.43,"Adidas Powerframe sneakers, designed for lifestyle performance and style.",487.8
Lanvin React Infinity,1,179,4.7,"Lanvin React Infinity sneakers, designed for basketball performance and style.",129.74
Louis Vuitton Retro 1,4,114,3.88,"Louis Vuitton Retro 1 sneakers, designed for running performance and style.",193.26
Asics 990v5,4,148,3.99,"Asics 990v5 sneakers, designed for running performance and style.",402.25
Dior Powerframe,2,89,3.96,"Dior Powerframe sneakers, designed for lifestyle performance and style.",369.07
Fila Speedrunner,6,31,3.28,"Fila Speedrunner sneakers, designed for other performance and style.",104.4
Fila RS-X,5,77,4.76,"Fila RS-X sneakers, designed for tennis performance and style.",194.31
Lanvin RS-X,5,168,4.32,"Lanvin RS-X sneakers, designed for tennis performance and style.",420.55
Yeezy Yeezy Boost,2,69,4.38,"Yeezy Yeezy Boost sneakers, designed for lifestyle performance and style.",247.42
Fila Triple S,3,172,3.01,"Fila Triple S sneakers, designed for fashion performance and style.",192.47
Asics Retro 1,1,147,3.12,"Asics Retro 1 sneakers, designed for basketball performance and style.",296.54
Louis Vuitton RS-Dreamer,3,177,4.51,"Louis Vuitton RS-Dreamer sneakers, designed for fashion performance and style.",363.73
New Balance RS-Dreamer,3,26,4.65,"New Balance RS-Dreamer sneakers, designed for fashion performance and style.",428.89
MSCHF Yeezy Boost,2,19,3.11,"MSCHF Yeezy Boost sneakers, designed for lifestyle performance and style.",419.64
Louis Vuitton Air Max,6,19,3.75,"Louis Vuitton Air Max sneakers, designed for other performance and style.",381.87
MSCHF RS-X,4,123,3.75,"MSCHF RS-X sneakers, designed for running performance and style.",69.4
Asics RS-Dreamer,4,63,4.14,"Asics RS-Dreamer sneakers, designed for running performance and style.",190.48
Puma Powerframe,4,8,4.16,"Puma Powerframe sneakers, designed for running performance and style.",392.67
MSCHF Dunk,6,186,3.62,"MSCHF Dunk sneakers, designed for other performance and style.",400.32
Louis Vuitton Air Max,5,164,3.21,"Louis Vuitton Air Max sneakers, designed for tennis performance and style.",133.84
Louis Vuitton Gel-Lyte,4,172,4.64,"Louis Vuitton Gel-Lyte sneakers, designed for running performance and style.",176.75
Lanvin React Infinity,5,110,3.46,"Lanvin React Infinity sneakers, designed for tennis performance and style.",372.62
Jordan Triple S,3,191,4.57,"Jordan Triple S sneakers, designed for fashion performance and style.",162.02
Nike Speedrunner,6,10,4.24,"Nike Speedrunner sneakers, designed for other performance and style.",124.5
Louis Vuitton Dunk,6,92,4.5,"Louis Vuitton Dunk sneakers, designed for other performance and style.",342.05
New Balance Air Max,1,55,4.51,"New Balance Air Max sneakers, designed for basketball performance and style.",70.4
Yeezy Gel-Lyte,1,54,3.25,"Yeezy Gel-Lyte sneakers, designed for basketball performance and style.",358.86
Adidas Air Max,1,25,4.61,"Adidas Air Max sneakers, designed for basketball performance and style.",293.38
Louis Vuitton Speedrunner,1,102,3.97,"Louis Vuitton Speedrunner sneakers, designed for basketball performance and style.",131.31
Louis Vuitton Yeezy Boost,2,200,3.39,"Louis Vuitton Yeezy Boost sneakers, designed for lifestyle performance and style.",119.63
Yeezy Speedrunner,4,173,4.56,"Yeezy Speedrunner sneakers, designed for running performance and style.",359.56
Jordan Chuck 70,5,50,4.74,"Jordan Chuck 70 sneakers, designed for tennis performance and style.",344.85
Yeezy Speedrunner,1,71,4.24,"Yeezy Speedrunner sneakers, designed for basketball performance and style.",418.73
Adidas Chuck 70,6,129,3.76,"Adidas Chuck 70 sneakers, designed for other performance and style.",210.09
Fila Classic Leather,6,163,3.28,"Fila Classic Leather sneakers, designed for other performance and style.",198.97
New Balance React Infinity,2,186,3.68,"New Balance React Infinity sneakers, designed for lifestyle performance and style.",115.61
Lanvin Speedrunner,6,56,4.0,"Lanvin Speedrunner sneakers, designed for other performance and style.",329.59
Dior Yeezy Boost,6,46,3.84,"Dior Yeezy Boost sneakers, designed for other performance and style.",352.47
Asics RS-Dreamer,6,122,3.99,"Asics RS-Dreamer sneakers, designed for other performance and style.",207.43
Louis Vuitton React Infinity,2,107,3.31,"Louis Vuitton React Infinity sneakers, designed for lifestyle performance and style.",326.66
MSCHF React Infinity,5,1,4.58,"MSCHF React Infinity sneakers, designed for tennis performance and style.",386.59
Fila Speedrunner,4,115,3.17,"Fila Speedrunner sneakers, designed for running performance and style.",89.4
Fila Gel-Lyte,4,181,3.35,"Fila Gel-Lyte sneakers, designed for running performance and style.",333.08
Louis Vuitton Disruptor,6,65,3.76,"Louis Vuitton Disruptor sneakers, designed for other performance and style.",466.37
Nike Speedrunner,3,164,3.64,"Nike Speedrunner sneakers, designed for fashion performance and style.",200.01
Asics React Infinity,5,137,4.24,"Asics React Infinity sneakers, designed for tennis performance and style.",355.75
Nike Triple S,5,115,3.86,"Nike Triple S sneakers, designed for tennis performance and style.",431.73
Louis Vuitton RS-Dreamer,5,88,4.45,"Louis Vuitton RS-Dreamer sneakers, designed for tennis performance and style.",211.48
Jordan Speedrunner,4,92,4.85,"Jordan Speedrunner sneakers, designed for running performance and style.",164.66
Yeezy React Infinity,6,36,4.52,"Yeezy React Infinity sneakers, designed for other performance and style.",404.69
Fila Dunk,5,161,4.63,"Fila Dunk sneakers, designed for tennis performance and style.",428.16
Fila React Infinity,3,130,3.18,"Fila React Infinity sneakers, designed for fashion performance and style.",102.78
Puma Powerframe,5,150,4.43,"Puma Powerframe sneakers, designed for tennis performance and style.",278.27
Reebok Classic Leather,5,48,3.45,"Reebok Classic Leather sneakers, designed for tennis performance and style.",490.62
New Balance 990v5,2,100,4.54,"New Balance 990v5 sneakers, designed for lifestyle performance and style.",458.75
Reebok Classic Leather,2,71,4.87,"Reebok Classic Leather sneakers, designed for lifestyle performance and style.",167.22
Puma Yeezy Boost,5,60,3.67,"Puma Yeezy Boost sneakers, designed for tennis performance and style.",308.64
Adidas 990v5,2,4,4.36,"Adidas 990v5 sneakers, designed for lifestyle performance and style.",109.93
Louis Vuitton Zoom Pegasus,2,175,4.19,"Louis Vuitton Zoom Pegasus sneakers, designed for lifestyle performance and style.",279.36
Lanvin Yeezy Boost,6,101,3.24,"Lanvin Yeezy Boost sneakers, designed for other performance and style.",314.03
Dior 990v5,3,151,4.62,"Dior 990v5 sneakers, designed for fashion performance and style.",79.22
Puma Zoom Pegasus,2,113,3.67,"Puma Zoom Pegasus sneakers, designed for lifestyle performance and style.",260.5
Reebok Gel-Lyte,6,82,4.42,"Reebok Gel-Lyte sneakers, designed for other performance and style.",134.9
Converse Triple S,2,39,3.83,"Converse Triple S sneakers, designed for lifestyle performance and style.",338.61
Reebok Disruptor,1,188,3.04,"Reebok Disruptor sneakers, designed for basketball performance and style.",430.45
Lanvin Zoom Pegasus,2,21,3.03,"Lanvin Zoom Pegasus sneakers, designed for lifestyle performance and style.",86.21
Converse Zoom Pegasus,4,81,4.69,"Converse Zoom Pegasus sneakers, designed for running performance and style.",276.66
Nike Air Max,6,151,3.71,"Nike Air Max sneakers, designed for other performance and style.",489.45
Yeezy Gel-Lyte,5,90,4.26,"Yeezy Gel-Lyte sneakers, designed for tennis performance and style.",373.44
Reebok 990v5,6,13,4.43,"Reebok 990v5 sneakers, designed for other performance and style.",335.82
Jordan Zoom Pegasus,1,148,3.79,"Jordan Zoom Pegasus sneakers, designed for basketball performance and style.",277.28
Adidas Yeezy Boost,2,162,4.15,"Adidas Yeezy Boost sneakers, designed for lifestyle performance and style.",195.93
Louis Vuitton RS-X,6,163,4.4,"Louis Vuitton RS-X sneakers, designed for other performance and style.",404.52
Reebok Classic Leather,5,121,3.41,"Reebok Classic Leather sneakers, designed for tennis performance and style.",365.22
Lanvin Air Max,4,134,4.82,"Lanvin Air Max sneakers, designed for running performance and style.",487.61
Yeezy RS-X,4,110,4.2,"Yeezy RS-X sneakers, designed for running performance and style.",91.74
Reebok RS-Dreamer,2,90,3.59,"Reebok RS-Dreamer sneakers, designed for lifestyle performance and style.",245.75
Fila Yeezy Boost,4,51,3.07,"Fila Yeezy Boost sneakers, designed for running performance and style.",382.18
MSCHF React Infinity,2,154,3.56,"MSCHF React Infinity sneakers, designed for lifestyle performance and style.",160.9
Lanvin Chuck 70,2,180,3.59,"Lanvin Chuck 70 sneakers, designed for lifestyle performance and style.",475.92
Fila Powerframe,2,72,3.82,"Fila Powerframe sneakers, designed for lifestyle performance and style.",226.2
Converse React Infinity,3,29,4.17,"Converse React Infinity sneakers, designed for fashion performance and style.",335.29
Lanvin Gel-Lyte,4,145,4.08,"Lanvin Gel-Lyte sneakers, designed for running performance and style.",498.98
Louis Vuitton Classic Leather,4,172,4.2,"Louis Vuitton Classic Leather sneakers, designed for running performance and style.",262.65
MSCHF Classic Leather,3,118,4.57,"MSCHF Classic Leather sneakers, designed for fashion performance and style.",236.35
New Balance Triple S,4,32,4.89,"New Balance Triple S sneakers, designed for running performance and style.",311.82
Adidas RS-X,5,61,4.16,"Adidas RS-X sneakers, designed for tennis performance and style.",173.23
Fila 990v5,4,108,4.55,"Fila 990v5 sneakers, designed for running performance and style.",83.2
Puma Yeezy Boost,3,156,3.77,"Puma Yeezy Boost sneakers, designed for fashion performance and style.",267.83
Fila Triple S,5,161,3.38,"Fila Triple S sneakers, designed for tennis performance and style.",274.66
Asics Gel-Lyte,1,145,3.92,"Asics Gel-Lyte sneakers, designed for basketball performance and style.",296.16
Yeezy RS-X,5,146,3.3,"Yeezy RS-X sneakers, designed for tennis performance and style.",177.12
MSCHF RS-X,6,180,4.52,"MSCHF RS-X sneakers, designed for other performance and style.",263.91
New Balance Yeezy Boost,3,79,4.51,"New Balance Yeezy Boost sneakers, designed for fashion performance and style.",310.15
New Balance Zoom Pegasus,6,30,3.76,"New Balance Zoom Pegasus sneakers, designed for other performance and style.",448.83
New Balance 990v5,6,116,3.37,"New Balance 990v5 sneakers, designed for other performance and style.",65.3
Jordan Disruptor,1,22,4.34,"Jordan Disruptor sneakers, designed for basketball performance and style.",139.73
Fila Speedrunner,6,163,3.78,"Fila Speedrunner sneakers, designed for other performance and style.",74.31
Asics Powerframe,3,191,4.23,"Asics Powerframe sneakers, designed for fashion performance and style.",341.75
Jordan Yeezy Boost,5,198,3.81,"Jordan Yeezy Boost sneakers, designed for tennis performance and style.",411.83
Asics 990v5,5,194,3.06,"Asics 990v5 sneakers, designed for tennis performance and style.",453.12
Jordan Retro 1,4,18,3.31,"Jordan Retro 1 sneakers, designed for running performance and style.",95.45
Nike Air Max,5,142,3.77,"Nike Air Max sneakers, designed for tennis performance and style.",302.4
Puma Dunk,1,119,3.52,"Puma Dunk sneakers, designed for basketball performance and style.",271.8
Nike Chuck 70,4,23,3.54,"Nike Chuck 70 sneakers, designed for running performance and style.",434.22
New Balance 990v5,3,95,4.72,"New Balance 990v5 sneakers, designed for fashion performance and style.",147.89
Louis Vuitton React Infinity,2,29,3.74,"Louis Vuitton React Infinity sneakers, designed for lifestyle performance and style.",220.04
Adidas Chuck 70,4,76,3.37,"Adidas Chuck 70 sneakers, designed for running performance and style.",127.83
Yeezy Chuck 70,2,160,3.69,"Yeezy Chuck 70 sneakers, designed for lifestyle performance and style.",166.99
Louis Vuitton Classic Leather,1,103,4.48,"Louis Vuitton Classic Leather sneakers, designed for basketball performance and style.",411.56
Reebok RS-Dreamer,4,20,3.58,"Reebok RS-Dreamer sneakers, designed for running performance and style.",186.93
Lanvin Triple S,6,96,3.41,"Lanvin Triple S sneakers, designed for other performance and style.",76.85
Dior Powerframe,2,192,4.05,"Dior Powerframe sneakers, designed for lifestyle performance and style.",284.45
Nike Zoom Pegasus,5,178,3.11,"Nike Zoom Pegasus sneakers, designed for tennis performance and style.",382.14
Converse Gel-Lyte,6,195,4.97,"Converse Gel-Lyte sneakers, designed for other performance and style.",327.38
Dior Yeezy Boost,2,114,3.99,"Dior Yeezy Boost sneakers, designed for lifestyle performance and style.",267.39
Lanvin RS-Dreamer,6,74,4.96,"Lanvin RS-Dreamer sneakers, designed for other performance and style.",209.71
Fila Chuck 70,6,107,4.6,"Fila Chuck 70 sneakers, designed for other performance and style.",358.82
Dior Triple S,2,87,4.03,"Dior Triple S sneakers, designed for lifestyle performance and style.",445.46
Yeezy Yeezy Boost,2,51,3.57,"Yeezy Yeezy Boost sneakers, designed for lifestyle performance and style.",366.2
MSCHF React Infinity,3,115,4.3,"MSCHF React Infinity sneakers, designed for fashion performance and style.",79.88
Puma Classic Leather,6,67,3.83,"Puma Classic Leather sneakers, designed for other performance and style.",324.93
Fila Classic Leather,2,142,4.11,"Fila Classic Leather sneakers, designed for lifestyle performance and style.",61.27
Dior Disruptor,2,129,4.05,"Dior Disruptor sneakers, designed for lifestyle performance and style.",249.84
Jordan Disruptor,6,172,3.94,"Jordan Disruptor sneakers, designed for other performance and style.",217.77
Louis Vuitton Retro 1,2,181,4.7,"Louis Vuitton Retro 1 sneakers, designed for lifestyle performance and style.",346.63
New Balance Dunk,1,67,3.13,"New Balance Dunk sneakers, designed for basketball performance and style.",339.31
Converse Yeezy Boost,6,141,4.46,"Converse Yeezy Boost sneakers, designed for other performance and style.",383.11
Jordan Powerframe,2,15,4.16,"Jordan Powerframe sneakers, designed for lifestyle performance and style.",120.96
Puma Triple S,4,3,3.01,"Puma Triple S sneakers, designed for running performance and style.",260.11
Yeezy RS-X,5,163,5.0,"Yeezy RS-X sneakers, designed for tennis performance and style.",269.93
New Balance RS-Dreamer,6,45,3.41,"New Balance RS-Dreamer sneakers, designed for other performance and style.",175.56
Yeezy Powerframe,5,74,4.09,"Yeezy Powerframe sneakers, designed for tennis performance and style.",158.56
Nike Triple S,4,85,4.88,"Nike Triple S sneakers, designed for running performance and style.",385.67
Lanvin Disruptor,6,198,4.98,"Lanvin Disruptor sneakers, designed for other performance and style.",289.9
Jordan RS-Dreamer,5,9,3.36,"Jordan RS-Dreamer sneakers, designed for tennis performance and style.",330.7
Puma Triple S,1,25,4.02,"Puma Triple S sneakers, designed for basketball performance and style.",418.37
Puma RS-Dreamer,2,24,3.76,"Puma RS-Dreamer sneakers, designed for lifestyle performance and style.",488.92
Louis Vuitton Classic Leather,5,71,3.65,"Louis Vuitton Classic Leather sneakers, designed for tennis performance and style.",477.54
Reebok RS-X,3,12,4.47,"Reebok RS-X sneakers, designed for fashion performance and style.",91.57
Nike Chuck 70,6,83,3.19,"Nike Chuck 70 sneakers, designed for other performance and style.",229.0
Louis Vuitton Dunk,3,2,4.32,"Louis Vuitton Dunk sneakers, designed for fashion performance and style.",140.25
Converse Disruptor,3,172,3.09,"Converse Disruptor sneakers, designed for fashion performance and style.",474.77
Yeezy Retro 1,4,50,3.72,"Yeezy Retro 1 sneakers, designed for running performance and style.",381.16
MSCHF Chuck 70,3,106,4.3,"MSCHF Chuck 70 sneakers, designed for fashion performance and style.",329.15
Louis Vuitton React Infinity,5,111,3.48,"Louis Vuitton React Infinity sneakers, designed for tennis performance and style.",213.37
Jordan Chuck 70,1,118,3.91,"Jordan Chuck 70 sneakers, designed for basketball performance and style.",372.52
Louis Vuitton Speedrunner,3,145,3.49,"Louis Vuitton Speedrunner sneakers, designed for fashion performance and style.",339.81
Fila Gel-Lyte,1,121,3.04,"Fila Gel-Lyte sneakers, designed for basketball performance and style.",398.29
New Balance Gel-Lyte,6,124,4.48,"New Balance Gel-Lyte sneakers, designed for other performance and style.",213.7
Asics Retro 1,1,129,3.89,"Asics Retro 1 sneakers, designed for basketball performance and style.",101.3
Asics Powerframe,1,122,3.04,"Asics Powerframe sneakers, designed for basketball performance and style.",290.83
MSCHF Powerframe,3,41,4.62,"MSCHF Powerframe sneakers, designed for fashion performance and style.",425.76
Reebok Speedrunner,6,20,3.08,"Reebok Speedrunner sneakers, designed for other performance and style.",68.95
Jordan Powerframe,3,105,4.64,"Jordan Powerframe sneakers, designed for fashion performance and style.",250.56
Adidas RS-Dreamer,2,146,3.4,"Adidas RS-Dreamer sneakers, designed for lifestyle performance and style.",384.46
Converse Yeezy Boost,4,64,4.66,"Converse Yeezy Boost sneakers, designed for running performance and style.",201.6
Dior Powerframe,4,28,3.83,"Dior Powerframe sneakers, designed for running performance and style.",236.35
Lanvin Air Max,2,170,3.99,"Lanvin Air Max sneakers, designed for lifestyle performance and style.",404.88
Asics Gel-Lyte,2,80,4.98,"Asics Gel-Lyte sneakers, designed for lifestyle performance and style.",429.63
Dior Disruptor,1,145,4.93,"Dior Disruptor sneakers, designed for basketball performance and style.",52.34
New Balance RS-X,2,183,3.67,"New Balance RS-X sneakers, designed for lifestyle performance and style.",103.41
Lanvin 990v5,1,63,3.6,"Lanvin 990v5 sneakers, designed for basketball performance and style.",490.37
Puma Chuck 70,4,200,4.12,"Puma Chuck 70 sneakers, designed for running performance and style.",338.92
Nike Disruptor,6,27,3.3,"Nike Disruptor sneakers, designed for other performance and style.",166.88
Puma 990v5,2,136,4.06,"Puma 990v5 sneakers, designed for lifestyle performance and style.",384.36
MSCHF RS-X,3,97,3.22,"MSCHF RS-X sneakers, designed for fashion performance and style.",152.28
Reebok Disruptor,6,164,3.14,"Reebok Disruptor sneakers, designed for other performance and style.",367.14
Louis Vuitton RS-X,3,55,4.41,"Louis Vuitton RS-X sneakers, designed for fashion performance and style.",482.08
Yeezy Retro 1,2,155,3.48,"Yeezy Retro 1 sneakers, designed for lifestyle performance and style.",440.02
Nike Gel-Lyte,2,199,3.95,"Nike Gel-Lyte sneakers, designed for lifestyle performance and style.",256.06
Louis Vuitton Dunk,4,15,3.59,"Louis Vuitton Dunk sneakers, designed for running performance and style.",243.02
Yeezy RS-Dreamer,3,39,4.34,"Yeezy RS-Dreamer sneakers, designed for fashion performance and style.",205.52
Louis Vuitton Air Max,5,169,4.83,"Louis Vuitton Air Max sneakers, designed for tennis performance and style.",197.94
New Balance Powerframe,3,158,3.42,"New Balance Powerframe sneakers, designed for fashion performance and style.",406.08
Fila Powerframe,6,193,3.49,"Fila Powerframe sneakers, designed for other performance and style.",248.28
MSCHF Powerframe,5,41,3.21,"MSCHF Powerframe sneakers, designed for tennis performance and style.",212.83
Yeezy Speedrunner,3,176,3.46,"Yeezy Speedrunner sneakers, designed for fashion performance and style.",222.28
New Balance Gel-Lyte,2,50,3.11,"New Balance Gel-Lyte sneakers, designed for lifestyle performance and style.",434.72
Fila Disruptor,3,151,4.21,"Fila Disruptor sneakers, designed for fashion performance and style.",342.27
Reebok Classic Leather,6,200,5.0,"Reebok Classic Leather sneakers, designed for other performance and style.",473.16
Yeezy Disruptor,2,18,3.49,"Yeezy Disruptor sneakers, designed for lifestyle performance and style.",254.41
Lanvin Gel-Lyte,1,112,3.94,"Lanvin Gel-Lyte sneakers, designed for basketball performance and style.",414.69
Yeezy Disruptor,1,154,3.43,"Yeezy Disruptor sneakers, designed for basketball performance and style.",91.87
Adidas Disruptor,6,188,3.35,"Adidas Disruptor sneakers, designed for other performance and style.",126.76
Fila Speedrunner,1,57,4.95,"Fila Speedrunner sneakers, designed for basketball performance and style.",275.52
Louis Vuitton Gel-Lyte,1,182,3.41,"Louis Vuitton Gel-Lyte sneakers, designed for basketball performance and style.",106.82
Yeezy Dunk,6,128,3.8,"Yeezy Dunk sneakers, designed for other performance and style.",67.3
Adidas Classic Leather,3,148,4.44,"Adidas Classic Leather sneakers, designed for fashion performance and style.",270.42
New Balance RS-Dreamer,3,157,4.59,"New Balance RS-Dreamer sneakers, designed for fashion performance and style.",484.31
Lanvin Speedrunner,2,139,3.33,"Lanvin Speedrunner sneakers, designed for lifestyle performance and style.",159.23
Adidas RS-Dreamer,1,171,4.75,"Adidas RS-Dreamer sneakers, designed for basketball performance and style.",63.16
Lanvin Chuck 70,2,12,3.76,"Lanvin Chuck 70 sneakers, designed for lifestyle performance and style.",378.34
Fila Triple S,2,39,3.49,"Fila Triple S sneakers, designed for lifestyle performance and style.",407.59
Nike Air Max,4,59,4.22,"Nike Air Max sneakers, designed for running performance and style.",428.58
Lanvin 990v5,6,124,4.36,"Lanvin 990v5 sneakers, designed for other performance and style.",325.58
Fila Gel-Lyte,4,119,4.44,"Fila Gel-Lyte sneakers, designed for running performance and style.",461.61
Nike Triple S,1,88,3.84,"Nike Triple S sneakers, designed for basketball performance and style.",222.89
Jordan Classic Leather,4,60,3.68,"Jordan Classic Leather sneakers, designed for running performance and style.",419.7
MSCHF Air Max,5,135,4.76,"MSCHF Air Max sneakers, designed for tennis performance and style.",338.01
Lanvin Disruptor,3,105,4.74,"Lanvin Disruptor sneakers, designed for fashion performance and style.",444.58
